City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Pangnirtung,CA,66.1451,-65.7125,29.16,80,98,7.05,overcast clouds
225,San Jeronimo,PE,-11.9472,-75.2829,50.97,87,99,2.8,overcast clouds
226,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,light rain
227,Snezhnogorsk,RU,69.1933,33.2531,30.2,86,20,6.71,few clouds
228,Provideniya,RU,64.3833,-173.3,33.8,75,0,6.71,clear sky
229,Blind River,CA,46.1834,-82.9582,32.0,55,1,8.05,clear sky
230,Geraldton,AU,-28.7667,114.6,86.0,26,2,11.5,clear sky
231,Mandalgovi,MN,45.7625,106.2708,33.15,68,80,32.17,broken clouds
232,Emba,KZ,48.8264,58.1442,59.18,53,100,11.36,overcast clouds
233,Hasaki,JP,35.7333,140.8333,66.0,26,20,10.36,few clouds
234,Plouzane,FR,48.3833,-4.6167,44.6,87,75,19.57,broken clouds
235,Ilulissat,GL,69.2167,-51.1,48.2,43,75,27.63,broken clouds
236,Gorodishche,RU,48.8045,44.4744,44.6,65,0,6.71,clear sky
237,Tura,IN,25.5198,90.2201,95.65,19,19,6.38,few clouds
238,Dongsheng,CN,39.8161,109.9776,49.87,11,8,27.09,clear sky
239,Arraial Do Cabo,BR,-22.9661,-42.0278,74.03,87,56,8.88,broken clouds
240,Isiro,CD,2.7739,27.616,65.55,99,100,2.01,overcast clouds
241,Talcahuano,CL,-36.7167,-73.1167,55.4,94,40,9.22,scattered clouds
242,Constitucion,CL,-35.3333,-72.4167,56.39,77,0,8.28,clear sky
243,Chuy,UY,-33.6971,-53.4616,58.84,80,55,8.32,broken clouds
244,Lavrentiya,RU,65.5833,-171.0,32.97,92,97,0.56,overcast clouds
245,Moerai,PF,-22.4333,-151.3333,76.82,60,73,5.84,broken clouds
246,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,87,40,9.22,scattered clouds
247,Tubmanburg,LR,6.8708,-10.8172,75.11,96,95,0.27,overcast clouds
248,Lompoc,US,34.6391,-120.4579,51.8,87,100,4.61,overcast clouds
249,Nisia Floresta,BR,-6.0911,-35.2086,77.0,88,40,3.44,scattered clouds
250,Pucallpa,PE,-8.3791,-74.5539,73.74,93,52,2.91,broken clouds
