City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Phuket,TH,86.0,few clouds,8.0,98.25,The Surin Phuket
645,Madang,PG,85.48,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
651,Sawakin,SD,81.97,clear sky,19.1059,37.3321,فندق الدويم
652,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
657,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
659,Takoradi,GH,79.5,overcast clouds,4.8845,-1.7554,Raybow International Hotel
668,Jensen Beach,US,77.0,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
670,Andros Town,BS,75.2,clear sky,24.7,-77.7667,Hanks place
676,Manicore,BR,77.0,very heavy rain,-5.8092,-61.3003,Hotel Durval
679,Sibolga,ID,86.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
681,Eydhafushi,MV,83.43,few clouds,5.1033,73.0708,Soneva Fushi
