City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Bambous Virieux,MU,2021-04-26 00:13:07,-20.3428,57.7575,75.2,94,75,11.5
167,Kruisfontein,ZA,2021-04-26 00:09:54,-34.0033,24.7314,67.48,48,100,6.06
168,Kiunga,PG,2021-04-26 00:13:07,-6.1219,141.2906,83.75,68,88,2.01
169,Matiri,TZ,2021-04-26 00:13:08,-10.75,34.9,61.09,95,46,3.33
170,Pisco,PE,2021-04-26 00:10:53,-13.7,-76.2167,64.99,88,0,4.61
171,Valley,US,2021-04-26 00:13:08,45.1277,-116.1262,43.0,81,75,3.44
172,Hobyo,SO,2021-04-26 00:13:09,5.3505,48.5268,83.21,64,54,9.82
173,Saint George,US,2021-04-26 00:10:25,37.1041,-113.5841,79.0,12,1,18.41
174,Fremont,US,2021-04-26 00:09:29,37.5483,-121.9886,57.2,62,75,26.84
175,Mao,ES,2021-04-26 00:13:10,39.8885,4.2658,59.0,77,0,14.97
176,Bintulu,MY,2021-04-26 00:13:10,3.1667,113.0333,77.0,94,20,3.44
177,Watsonville,US,2021-04-26 00:13:11,36.9102,-121.7569,55.99,82,100,1.99
178,Beringovskiy,RU,2021-04-26 00:13:11,63.05,179.3167,31.64,90,96,1.54
179,Seoul,KR,2021-04-26 00:13:01,37.5683,126.9778,60.8,25,40,8.05
180,Hirara,JP,2021-04-26 00:13:12,24.8,125.2833,73.4,64,20,13.8
181,Evensk,RU,2021-04-26 00:10:09,61.95,159.2333,25.83,88,100,6.87
182,Tromso,NO,2021-04-26 00:13:13,69.6496,18.957,33.8,86,75,5.75
183,Aljezur,PT,2021-04-26 00:13:13,37.3191,-8.8033,58.82,92,60,8.86
184,Mucurapo,TT,2021-04-26 00:13:14,10.6667,-61.5333,80.6,69,20,8.05
185,Voskresenskoye,RU,2021-04-26 00:13:14,56.8381,45.4317,33.87,88,100,17.4
186,Sheltozero,RU,2021-04-26 00:13:14,61.3667,35.3667,34.68,97,100,3.8
187,Hithadhoo,MV,2021-04-26 00:13:15,-0.6,73.0833,82.53,68,69,5.01
188,Visby,SE,2021-04-26 00:10:03,57.6409,18.296,35.6,75,90,17.27
189,Xichang,CN,2021-04-26 00:13:16,27.8964,102.2634,62.2,57,80,4.63
190,Georgetown,MY,2021-04-26 00:11:32,5.4112,100.3354,81.0,89,20,3.44
191,Norman Wells,CA,2021-04-26 00:09:43,65.282,-126.8329,37.4,38,20,12.66
192,Halifax,CA,2021-04-26 00:10:46,44.6453,-63.5724,45.0,100,100,8.05
193,Buala,SB,2021-04-26 00:13:17,-8.145,159.5921,85.53,70,65,1.21
194,Yerofey Pavlovich,RU,2021-04-26 00:13:17,53.9667,121.9667,49.57,41,100,3.44
195,Guhagar,IN,2021-04-26 00:13:17,17.4842,73.1929,80.24,82,69,0.78
196,Umea,SE,2021-04-26 00:13:18,63.8284,20.2597,35.6,51,90,11.5
197,Nome,US,2021-04-26 00:13:19,64.5011,-165.4064,42.8,65,1,3.44
198,Tres Arroyos,AR,2021-04-26 00:11:00,-38.3739,-60.2798,57.45,74,100,5.35
199,Mnogovershinnyy,RU,2021-04-26 00:13:19,53.9353,139.9242,29.52,72,8,4.59
200,Hilo,US,2021-04-26 00:13:04,19.7297,-155.09,78.8,65,90,14.97
